sourceTypeModelYearID,sourceTypeID,modelYearID,fuelTypeID,engTechID,regClassID,stmyFuelEngFraction,stmyFraction
111950,11,1950,1,1,10,1,1
111951,11,1951,1,1,10,1,1
111952,11,1952,1,1,10,1,1
111953,11,1953,1,1,10,1,1
111954,11,1954,1,1,10,1,1
111955,11,1955,1,1,10,1,1
111956,11,1956,1,1,10,1,1
111957,11,1957,1,1,10,1,1
111958,11,1958,1,1,10,1,1
111959,11,1959,1,1,10,1,1
111960,11,1960,1,1,10,1,1
111961,11,1961,1,1,10,1,1
111962,11,1962,1,1,10,1,1
111963,11,1963,1,1,10,1,1
111964,11,1964,1,1,10,1,1
111965,11,1965,1,1,10,1,1
111966,11,1966,1,1,10,1,1
111967,11,1967,1,1,10,1,1
111968,11,1968,1,1,10,1,1
111969,11,1969,1,1,10,1,1
111970,11,1970,1,1,10,1,1
111971,11,1971,1,1,10,1,1
111972,11,1972,1,1,10,1,1
111973,11,1973,1,1,10,1,1
111974,11,1974,1,1,10,1,1
111975,11,1975,1,1,10,1,1
111976,11,1976,1,1,10,1,1
111977,11,1977,1,1,10,1,1
111978,11,1978,1,1,10,1,1
111979,11,1979,1,1,10,1,1
111980,11,1980,1,1,10,1,1
111981,11,1981,1,1,10,1,1
111982,11,1982,1,1,10,1,1
111983,11,1983,1,1,10,1,1
111984,11,1984,1,1,10,1,1
111985,11,1985,1,1,10,1,1
111986,11,1986,1,1,10,1,1
111987,11,1987,1,1,10,1,1
111988,11,1988,1,1,10,1,1
111989,11,1989,1,1,10,1,1
111990,11,1990,1,1,10,1,1
111991,11,1991,1,1,10,1,1
111992,11,1992,1,1,10,1,1
111993,11,1993,1,1,10,1,1
111994,11,1994,1,1,10,1,1
111995,11,1995,1,1,10,1,1
111996,11,1996,1,1,10,1,1
111997,11,1997,1,1,10,1,1
111998,11,1998,1,1,10,1,1
111999,11,1999,1,1,10,1,1
112000,11,2000,1,1,10,1,1
112001,11,2001,1,1,10,1,1
112002,11,2002,1,1,10,1,1
112003,11,2003,1,1,10,1,1
112004,11,2004,1,1,10,1,1
112005,11,2005,1,1,10,1,1
112006,11,2006,1,1,10,1,1
112007,11,2007,1,1,10,1,1
112008,11,2008,1,1,10,1,1
112009,11,2009,1,1,10,1,1
112010,11,2010,1,1,10,1,1
112011,11,2011,1,1,10,1,1
112012,11,2012,1,1,10,1,1
112013,11,2013,1,1,10,1,1
112014,11,2014,1,1,10,1,1
112015,11,2015,1,1,10,1,1
112016,11,2016,1,1,10,1,1
112017,11,2017,1,1,10,1,1
112018,11,2018,1,1,10,1,1
112019,11,2019,1,1,10,1,1
112020,11,2020,1,1,10,1,1
112021,11,2021,1,1,10,1,1
112022,11,2022,1,1,10,1,1
112023,11,2023,1,1,10,1,1
112024,11,2024,1,1,10,1,1
112025,11,2025,1,1,10,1,1
112026,11,2026,1,1,10,1,1
112027,11,2027,1,1,10,1,1
112028,11,2028,1,1,10,1,1
112029,11,2029,1,1,10,1,1
112030,11,2030,1,1,10,1,1
112031,11,2031,1,1,10,1,1
112032,11,2032,1,1,10,1,1
112033,11,2033,1,1,10,1,1
112034,11,2034,1,1,10,1,1
112035,11,2035,1,1,10,1,1
112036,11,2036,1,1,10,1,1
112037,11,2037,1,1,10,1,1
112038,11,2038,1,1,10,1,1
112039,11,2039,1,1,10,1,1
112040,11,2040,1,1,10,1,1
112041,11,2041,1,1,10,1,1
112042,11,2042,1,1,10,1,1
112043,11,2043,1,1,10,1,1
112044,11,2044,1,1,10,1,1
112045,11,2045,1,1,10,1,1
112046,11,2046,1,1,10,1,1
112047,11,2047,1,1,10,1,1
112048,11,2048,1,1,10,1,1
112049,11,2049,1,1,10,1,1
112050,11,2050,1,1,10,1,1
112051,11,2051,1,1,10,1,1
112052,11,2052,1,1,10,1,1
112053,11,2053,1,1,10,1,1
112054,11,2054,1,1,10,1,1
112055,11,2055,1,1,10,1,1
112056,11,2056,1,1,10,1,1
112057,11,2057,1,1,10,1,1
112058,11,2058,1,1,10,1,1
112059,11,2059,1,1,10,1,1
112060,11,2060,1,1,10,1,1
211950,21,1950,1,1,20,1,0.993123089247742
211950,21,1950,2,1,20,1,0.00687691075225852
211950,21,1950,5,1,20,1,0
211950,21,1950,9,30,20,1,0
211951,21,1951,1,1,20,1,0.993123089247742
211951,21,1951,2,1,20,1,0.00687691075225852
211951,21,1951,5,1,20,1,0
211951,21,1951,9,30,20,1,0
211952,21,1952,1,1,20,1,0.993123089247742
211952,21,1952,2,1,20,1,0.00687691075225852
211952,21,1952,5,1,20,1,0
211952,21,1952,9,30,20,1,0
211953,21,1953,1,1,20,1,0.993123089247742
211953,21,1953,2,1,20,1,0.00687691075225852
211953,21,1953,5,1,20,1,0
211953,21,1953,9,30,20,1,0
211954,21,1954,1,1,20,1,0.993123089247742
211954,21,1954,2,1,20,1,0.00687691075225852
211954,21,1954,5,1,20,1,0
211954,21,1954,9,30,20,1,0
211955,21,1955,1,1,20,1,0.993123089247742
211955,21,1955,2,1,20,1,0.00687691075225852
211955,21,1955,5,1,20,1,0
211955,21,1955,9,30,20,1,0
211956,21,1956,1,1,20,1,0.993123089247742
211956,21,1956,2,1,20,1,0.00687691075225852
211956,21,1956,5,1,20,1,0
211956,21,1956,9,30,20,1,0
211957,21,1957,1,1,20,1,0.993123089247742
211957,21,1957,2,1,20,1,0.00687691075225852
211957,21,1957,5,1,20,1,0
211957,21,1957,9,30,20,1,0
211958,21,1958,1,1,20,1,0.993123089247742
211958,21,1958,2,1,20,1,0.00687691075225852
211958,21,1958,5,1,20,1,0
211958,21,1958,9,30,20,1,0
211959,21,1959,1,1,20,1,0.993123089247742
211959,21,1959,2,1,20,1,0.00687691075225852
211959,21,1959,5,1,20,1,0
211959,21,1959,9,30,20,1,0
211960,21,1960,1,1,20,1,0.993123089247742
211960,21,1960,2,1,20,1,0.00687691075225852
211960,21,1960,5,1,20,1,0
211960,21,1960,9,30,20,1,0
211961,21,1961,1,1,20,1,0.993123089247742
211961,21,1961,2,1,20,1,0.00687691075225852
211961,21,1961,5,1,20,1,0
211961,21,1961,9,30,20,1,0
211962,21,1962,1,1,20,1,0.993123089247742
211962,21,1962,2,1,20,1,0.00687691075225852
211962,21,1962,5,1,20,1,0
211962,21,1962,9,30,20,1,0
211963,21,1963,1,1,20,1,0.993123089247742
211963,21,1963,2,1,20,1,0.00687691075225852
211963,21,1963,5,1,20,1,0
211963,21,1963,9,30,20,1,0
211964,21,1964,1,1,20,1,0.993123089247742
211964,21,1964,2,1,20,1,0.00687691075225852
211964,21,1964,5,1,20,1,0
211964,21,1964,9,30,20,1,0
211965,21,1965,1,1,20,1,0.993123089247742
211965,21,1965,2,1,20,1,0.00687691075225852
211965,21,1965,5,1,20,1,0
211965,21,1965,9,30,20,1,0
211966,21,1966,1,1,20,1,0.993123089247742
211966,21,1966,2,1,20,1,0.00687691075225852
211966,21,1966,5,1,20,1,0
211966,21,1966,9,30,20,1,0
211967,21,1967,1,1,20,1,0.993123089247742
211967,21,1967,2,1,20,1,0.00687691075225852
211967,21,1967,5,1,20,1,0
211967,21,1967,9,30,20,1,0
211968,21,1968,1,1,20,1,0.993123089247742
211968,21,1968,2,1,20,1,0.00687691075225852
211968,21,1968,5,1,20,1,0
211968,21,1968,9,30,20,1,0
211969,21,1969,1,1,20,1,0.993123089247742
211969,21,1969,2,1,20,1,0.00687691075225852
211969,21,1969,5,1,20,1,0
211969,21,1969,9,30,20,1,0
211970,21,1970,1,1,20,1,0.993123089247742
211970,21,1970,2,1,20,1,0.00687691075225852
211970,21,1970,5,1,20,1,0
211970,21,1970,9,30,20,1,0
211971,21,1971,1,1,20,1,0.993123089247742
211971,21,1971,2,1,20,1,0.00687691075225852
211971,21,1971,5,1,20,1,0
211971,21,1971,9,30,20,1,0
211972,21,1972,1,1,20,1,0.993123089247742
211972,21,1972,2,1,20,1,0.00687691075225852
211972,21,1972,5,1,20,1,0
211972,21,1972,9,30,20,1,0
211973,21,1973,1,1,20,1,0.993123089247742
211973,21,1973,2,1,20,1,0.00687691075225852
211973,21,1973,5,1,20,1,0
211973,21,1973,9,30,20,1,0
211974,21,1974,1,1,20,1,0.993123089247742
211974,21,1974,2,1,20,1,0.00687691075225852
211974,21,1974,5,1,20,1,0
211974,21,1974,9,30,20,1,0
211975,21,1975,1,1,20,1,0.981979804960496
211975,21,1975,2,1,20,1,0.0180201950395044
211975,21,1975,5,1,20,1,0
211975,21,1975,9,30,20,1,0
211976,21,1976,1,1,20,1,0.983491195484292
211976,21,1976,2,1,20,1,0.0165088045157077
211976,21,1976,5,1,20,1,0
211976,21,1976,9,30,20,1,0
211977,21,1977,1,1,20,1,0.987068296245043
211977,21,1977,2,1,20,1,0.0129317037549566
211977,21,1977,5,1,20,1,0
211977,21,1977,9,30,20,1,0
211978,21,1978,1,1,20,1,0.984942703532235
211978,21,1978,2,1,20,1,0.0150572964677654
211978,21,1978,5,1,20,1,0
211978,21,1978,9,30,20,1,0
211979,21,1979,1,1,20,1,0.968833708280714
211979,21,1979,2,1,20,1,0.0311662917192856
211979,21,1979,5,1,20,1,0
211979,21,1979,9,30,20,1,0
211980,21,1980,1,1,20,1,0.953329286533452
211980,21,1980,2,1,20,1,0.0466707134665481
211980,21,1980,5,1,20,1,0
211980,21,1980,9,30,20,1,0
211981,21,1981,1,1,20,1,0.923598274357361
211981,21,1981,2,1,20,1,0.0764017256426387
211981,21,1981,5,1,20,1,0
211981,21,1981,9,30,20,1,0
211982,21,1982,1,1,20,1,0.893278136078444
211982,21,1982,2,1,20,1,0.106721863921556
211982,21,1982,5,1,20,1,0
211982,21,1982,9,30,20,1,0
211983,21,1983,1,1,20,1,0.922683484915492
211983,21,1983,2,1,20,1,0.0773165150845079
211983,21,1983,5,1,20,1,0
211983,21,1983,9,30,20,1,0
211984,21,1984,1,1,20,1,0.955646181324789
211984,21,1984,2,1,20,1,0.0443538186752114
211984,21,1984,5,1,20,1,0
211984,21,1984,9,30,20,1,0
211985,21,1985,1,1,20,1,0.966250913749633
211985,21,1985,2,1,20,1,0.0337490862503666
211985,21,1985,5,1,20,1,0
211985,21,1985,9,30,20,1,0
211986,21,1986,1,1,20,1,0.991117688770733
211986,21,1986,2,1,20,1,0.0088823112292674
211986,21,1986,5,1,20,1,0
211986,21,1986,9,30,20,1,0
211987,21,1987,1,1,20,1,0.987233064104778
211987,21,1987,2,1,20,1,0.0127669358952218
211987,21,1987,5,1,20,1,0
211987,21,1987,9,30,20,1,0
211988,21,1988,1,1,20,1,0.999740009037386
211988,21,1988,2,1,20,1,0.000259990962614462
211988,21,1988,5,1,20,1,0
211988,21,1988,9,30,20,1,0
211989,21,1989,1,1,20,1,0.999089361365166
211989,21,1989,2,1,20,1,0.000910638634833907
211989,21,1989,5,1,20,1,0
211989,21,1989,9,30,20,1,0
211990,21,1990,1,1,20,1,0.998935963622651
211990,21,1990,2,1,20,1,0.00106403637734883
211990,21,1990,5,1,20,1,0
211990,21,1990,9,30,20,1,0
211991,21,1991,1,1,20,1,0.997176674155675
211991,21,1991,2,1,20,1,0.00282332584432526
211991,21,1991,5,1,20,1,0
211991,21,1991,9,30,20,1,0
211992,21,1992,1,1,20,1,0.998834703027928
211992,21,1992,2,1,20,1,0.00116529697207206
211992,21,1992,5,1,20,1,0
211992,21,1992,9,30,20,1,0
211993,21,1993,1,1,20,1,0.999308276197829
211993,21,1993,2,1,20,1,0.000691723802170864
211993,21,1993,5,1,20,1,0
211993,21,1993,9,30,20,1,0
211994,21,1994,1,1,20,1,0.999849894884801
211994,21,1994,2,1,20,1,0.000150105115199433
211994,21,1994,5,1,20,1,0
211994,21,1994,9,30,20,1,0
211995,21,1995,1,1,20,1,0.99905735966442
211995,21,1995,2,1,20,1,0.000942640335579959
211995,21,1995,5,1,20,1,0
211995,21,1995,9,30,20,1,0
211996,21,1996,1,1,20,1,0.998756776387347
211996,21,1996,2,1,20,1,0.00124322361265273
211996,21,1996,5,1,20,1,0
211996,21,1996,9,30,20,1,0
211997,21,1997,1,1,20,1,0.999092612751782
211997,21,1997,2,1,20,1,0.000907387248217776
211997,21,1997,5,1,20,1,0
211997,21,1997,9,30,20,1,0
211998,21,1998,1,1,20,1,0.988774031716977
211998,21,1998,2,1,20,1,0.00220740998020307
211998,21,1998,5,1,20,1,0.00901855830281983
211998,21,1998,9,30,20,1,0
211999,21,1999,1,1,20,1,0.981177293773463
211999,21,1999,2,1,20,1,0.00187866633855097
211999,21,1999,5,1,20,1,0.0169440398879861
211999,21,1999,9,30,20,1,0
212000,21,2000,1,1,20,1,0.9841207288156218
212000,21,2000,2,1,20,1,0.003089721865242405
212000,21,2000,5,1,20,1,0.012474246456052092
212000,21,2000,9,30,20,1,0.00031530286308364443
212001,21,2001,1,1,20,1,0.9868450833061091
212001,21,2001,2,1,20,1,0.003351758684525754
212001,21,2001,5,1,20,1,0.00939910704562779
212001,21,2001,9,30,20,1,0.0004040509637373407
212002,21,2002,1,1,20,1,0.9853059687514066
212002,21,2002,2,1,20,1,0.004633902802267292
212002,21,2002,5,1,20,1,0.007914838927429455
212002,21,2002,9,30,20,1,0.0021452895188966013
212003,21,2003,1,1,20,1,0.9815630269711123
212003,21,2003,2,1,20,1,0.004158084755676906
212003,21,2003,5,1,20,1,0.014208359483218585
212003,21,2003,9,30,20,1,0.00007052878999219824
212004,21,2004,1,1,20,1,0.9870805417011378
212004,21,2004,2,1,20,1,0.003380171478214786
212004,21,2004,5,1,20,1,0.009518400897169989
212004,21,2004,9,30,20,1,0.000020885923477483937
212005,21,2005,1,1,20,1,0.9809902210679238
212005,21,2005,2,1,20,1,0.0049081289668866535
212005,21,2005,5,1,20,1,0.013874449093210338
212005,21,2005,9,30,20,1,0.00022720087197924268
212006,21,2006,1,1,20,1,0.9574026372953187
212006,21,2006,2,1,20,1,0.006944929159828233
212006,21,2006,5,1,20,1,0.035533090343386385
212006,21,2006,9,30,20,1,0.00011934320146662448
212007,21,2007,1,1,20,1,0.9690647458269511
212007,21,2007,2,1,20,1,0.0004686763825334434
212007,21,2007,5,1,20,1,0.030287248564334773
212007,21,2007,9,30,20,1,0.0001793292261806368
212008,21,2008,1,1,20,1,0.9475221730580882
212008,21,2008,2,1,20,1,0.0006905853626784176
212008,21,2008,5,1,20,1,0.051453604985778056
212008,21,2008,9,30,20,1,0.0003336365934553337
212009,21,2009,1,1,20,1,0.9464747303681255
212009,21,2009,2,1,20,1,0.0077932622065827765
212009,21,2009,5,1,20,1,0.04554831283885644
212009,21,2009,9,30,20,1,0.00018369458643527865
212010,21,2010,1,1,20,1,0.9355101835469514
212010,21,2010,2,1,20,1,0.010608718963938307
212010,21,2010,5,1,20,1,0.05367475625171731
212010,21,2010,9,30,20,1,0.00020634123739304294
212011,21,2011,1,1,20,1,0.9013552231651651
212011,21,2011,2,1,20,1,0.011746719975016251
212011,21,2011,5,1,20,1,0.0850063004078016
212011,21,2011,9,30,20,1,0.0018917564520170382
212012,21,2012,1,1,20,1,0.9374740846691181
212012,21,2012,2,1,20,1,0.012576364771780459
212012,21,2012,5,1,20,1,0.04763035516071551
212012,21,2012,9,30,20,1,0.0023191953983859527
212013,21,2013,1,1,20,1,0.9344258234768296
212013,21,2013,2,1,20,1,0.013455982039009714
212013,21,2013,5,1,20,1,0.04597825377204063
212013,21,2013,9,30,20,1,0.006139940712120041
212014,21,2014,1,1,20,1,0.9405353133993246
212014,21,2014,2,1,20,1,0.013339578859542142
212014,21,2014,5,1,20,1,0.04099025750167146
212014,21,2014,9,30,20,1,0.005134850239461836
212015,21,2015,1,1,20,1,0.9494624405245903
212015,21,2015,2,1,20,1,0.010234972808569363
212015,21,2015,5,1,20,1,0.031882407886283805
212015,21,2015,9,30,20,1,0.008420178780556503
212016,21,2016,1,1,20,1,0.9601016920750125
212016,21,2016,2,1,20,1,0.0008733897540483452
212016,21,2016,5,1,20,1,0.030508077868601137
212016,21,2016,9,30,20,1,0.008516840302337965
212017,21,2017,1,1,20,1,0.9704220165760413
