yearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate
1990,11,0,3657632,1
1990,21,0,143549627,1
1990,31,0,34522020,1
1990,32,0,4042374,1
1990,41,0,172025,1
1990,42,0,48151,1
1990,43,0,318050,1
1990,51,0,57229,1
1990,52,0,3321516,1
1990,53,0,124832,1
1990,54,0,795855,1
1990,61,0,1010435,1
1990,62,0,604587,1
1999,11,0,4032581,1
1999,21,0,132432044,1
1999,31,0,66461938,1
1999,32,0,7782396,1
1999,41,0,226133,1
1999,42,0,63296,1
1999,43,0,418087,1
1999,51,0,102180,1
1999,52,0,5155620,1
1999,53,0,304940,1
1999,54,0,1041260,1
1999,61,0,1320899,1
1999,62,0,978569,1
2000,11,0,4346068,1
2000,21,0,133621420,1
2000,31,0,69931300,1
2000,32,0,8188643,1
2000,41,0,238473,1
2000,42,0,66750,1
2000,43,0,440902,1
2000,51,0,104180,1
2000,52,0,5154843,1
2000,53,0,298161,1
2000,54,0,1020579,1
2000,61,0,1378719,1
2000,62,0,1031204,1
2001,11,0,4903056,1
2001,21,0,137633467,1
2001,31,0,73943775,1
2001,32,0,8658486,1
2001,41,0,239567,1
2001,42,0,67056,1
2001,43,0,442925,1
2001,51,0,112984,1
2001,52,0,5485096,1
2001,53,0,310152,1
2001,54,0,1064291,1
2001,61,0,1407620,1
2001,62,0,1062908,1
2002,11,0,5004156,1
2002,21,0,135920677,1
2002,31,0,74801221,1
2002,32,0,8758889,1
2002,41,0,243137,1
2002,42,0,68055,1
2002,43,0,449525,1
2002,51,0,115407,1
2002,52,0,5499871,1
2002,53,0,303912,1
2002,54,0,1045592,1
2002,61,0,1369599,1
2002,62,0,1044094,1
2003,11,0,5370035,1
2003,21,0,135669897,1
2003,31,0,76531916,1
2003,32,0,8961546,1
2003,41,0,237582,1
2003,42,0,68604,1
2003,43,0,470364,1
2003,51,0,119510,1
2003,52,0,5593475,1
2003,53,0,301943,1
2003,54,0,1041619,1
2003,61,0,1352574,1
2003,62,0,1040968,1
2004,11,0,5780870,1
2004,21,0,136430651,1
2004,31,0,80962696,1
2004,32,0,9480370,1
2004,41,0,256107,1
2004,42,0,68796,1
2004,43,0,470371,1
2004,51,0,124111,1
2004,52,0,5707483,1
2004,53,0,300865,1
2004,54,0,1040806,1
2004,61,0,1350820,1
2004,62,0,1049540,1
2005,11,0,6227146,1
2005,21,0,136568083,1
2005,31,0,84088058,1
2005,32,0,9846336,1
2005,41,0,264495,1
2005,42,0,69514,1
2005,43,0,473044,1
2005,51,0,131119,1
2005,52,0,5927101,1
2005,53,0,304988,1
2005,54,0,1058135,1
2005,61,0,1380374,1
2005,62,0,1082727,1
2006,11,0,6678958,1
2006,21,0,135399945,1
2006,31,0,87378257,1
2006,32,0,10231604,1
2006,41,0,274929,1
2006,42,0,70232,1
2006,43,0,476798,1
2006,51,0,139868,1
2006,52,0,6217559,1
2006,53,0,312172,1
2006,54,0,1086333,1
2006,61,0,1438738,1
2006,62,0,1139251,1
2007,11,0,7138476,1
2007,21,0,135932930,1
2007,31,0,89289785,1
2007,32,0,10455435,1
2007,41,0,266607,1
2007,42,0,82378,1
2007,43,0,485451,1
2007,51,0,149344,1
2007,52,0,6531061,1
2007,53,0,319821,1
2007,54,0,1116445,1
2007,61,0,1464593,1
